addr,name,name_confidence,name_evidence,unit,scale,offset,x_unit,x_scale,x_offset,y_unit,y_scale,y_offset,scale_confidence,fr_module,fr_page,description,x_axis_addr,x_n,x_elem,y_axis_addr,y_n,y_elem,signed
0x5CA252,cand_KFMIOP,hypothesis,"E3 #41: 11 x 16 u16 read by lookup_2d_u16 from four torque-structure functions (0x0C821C, 0x0E0EC8, 0x436960, 0x44C194) over the axes 0x5CA23C (11 u16 = 426..4267 = 10.4..104.2 % at rl_w's 100/4096 %/LSB) and 0x5CA21C (16 u16 = 2240..26080 = 560..6520 rpm at 0.25 rpm/LSB) - both read as round physical numbers only under those factors. Monotone in rl, and the numerical inverse of cand_KFMIRL to about 1 % of charge (KFMIOP(2000 rpm, 104.2 %) = 56696 = 86.5 %, and KFMIRL(2000 rpm, 86.5 %) = 102.8 % against 104.2 %; the residue is the efficiency chain the FR puts between them). FR %MDBAS p729 and %MDFUE p724 p446: 'Das Kennfeld KFMIRL ist invers zum Kennfeld KFMIOP in der Sektion %MDBAS'",%,100/65536,,%,100/4096,,1/min,0.25,,static,MDBAS,729,"Optimum indicated engine torque from relative charge and engine speed (KFMIOP), 6.6..89.8 % of the maximum indicated torque. The reference the whole torque structure converts between charge and torque with; the inverse direction is cand_KFMIRL",,,,,,,
0x5CA3D4,KFZWOP_ny,static,"D3 #41: the count byte of KFZWOP, loaded at 0x436BA0",-,,,,,,,,,static,MDBAS,736,Breakpoint count of KFZWOP,,,,,,,
0x5CA3D5,KFZWOP_nx,static,"D3 #41: the count byte of KFZWOP, loaded at 0x436B9C",-,,,,,,,,,static,MDBAS,736,Breakpoint count of KFZWOP,,,,,,,
0x5CA3F1,KFZWOP,hypothesis,"B7 #15 re/findings/ignition.md S9; lookup_2d_g_u8_u8_s8 at 0x436BB8, read by kfzwop_lookup 0x436B90 into 0x802666",degCA,0.75,,%,100/128,,1/min,40,,static,MDBAS,736,"Optimum-ignition map of the torque model, 15..45 degBTDC. It is the reference for the ignition efficiency etazwb. DO NOT SHIFT IT for flex fuel: moving it desynchronises requested and delivered torque",,,,,,,
0x5D350C,cand_KFGRUTRIM,hypothesis,"B8 #16 re/findings/start.md S3.1 S4.1; the constant K in 0x801CF2 = ((0x7FD066 << 6) + 0x6000) * K >> 15, read by FUN_000E8D9C",-,1/128,,,,,,,,static,GK,1556,"Gain of the tester mixture trim, 128 = 1.0. 0x7FD066 has no code writer, so the trim is 1.0 in normal operation",,,,,,,
0x5D36E0,cand_KFMIXC,hypothesis,"B8 #16 re/findings/start.md S3.1 S4.2; read by FUN_0010C874, which builds 0x801CF4-0x801D02",-,1/128,,,,,degC,0.75,-48,hypothesis,GK,1556,"Weighting of the running-mixture cascade over start temperature, 0.60..1.00 at 128 = 1.0",,,,,,,
0x5D3745,cand_KFWKST_EEC,hypothesis,"B8 #16 re/findings/start.md S3.1; 0x41A614/0x41A7A8, last factor of ksta",-,1/128,,,,,degC,0.75,-48,hypothesis,ESSTT,1588,"Last multiplicative weighting of the cranking factor, over RAM 0x800EEC. 128 = 1.0",,,,,,,
0x5D396D,cand_DWBHO1SMN,hypothesis,B6 #14 re/findings/injection.md S8 and B9 #17 re/findings/rail.md S9.3; read at 0x41BB60,degCA,0.75,,,,,,,,static,AWEA,1800,Margin added to the required end-of-injection margin when the window clamp advances the start of injection. 0 in this dataset (so the clamp uses 0x7FD290 alone),,,,,,,
0x5D396E,cand_DWBHO1SMX,hypothesis,B6 #14 re/findings/injection.md S8 and B9 #17 re/findings/rail.md S9.3; read at 0x41BB40,degCA,0.75,,,,,,,,static,AWEA,1800,Margin added to the window-check threshold. 0 in this dataset,,,,,,,
0x5D396F,KVWBHRL,hypothesis,B9 #17 re/findings/rail.md S10; read at 0x454B44,-,,,,,,,,,static,AWEA,1800,Converts the available injection window into the relative-charge limit 0x803070. Only armed when the fuel-system fault bit 0x80201E.5 is set,,,,,,,
0x5D3970,WBHO1SWSW,hypothesis,B9 #17 re/findings/rail.md S9.2; compared with 0x7FD419 at 0x454948,-,,,,,,,,,static,AWEA,1800,Threshold that picks KFWBHO1SW over KFWBHO1SWE,,,,,,,
0x5D3971,KFDWBHO1SK,hypothesis,"B9 #17 re/findings/rail.md S9.2; interp_2d_s8 at 0x4549B0, applied as (map * 0x7FD28E) >> 3",degCA,0.75,,%,100/128,,1/min,40,,static,AWEA,1800,"Correction of the start-of-injection angle, -48..0 degCA before the >> 3 weighting",0x5C88DC,8,u8,0x5C88A9,10,u8,
0x5D3A33,KFWBHO1SWE,hypothesis,B9 #17 re/findings/rail.md S9.2; interp_2d_u8 at 0x454984,degCA,0.75,,%,100/128,,1/min,40,,static,AWEA,1800,"The second start-of-injection map, 270..390 degCA with the base",0x5C88DC,8,u8,0x5C88A9,10,u8,
0x5D3A83,KFWBHO1SW,hypothesis,B9 #17 re/findings/rail.md S9.2; interp_2d_u8 at 0x454968,degCA,0.75,,%,100/128,,1/min,40,,static,AWEA,1800,"Start-of-injection angle, 210..330 degCA after the 0x2300 = 210 degCA base. Selected when 0x7FD419 is above WBHO1SWSW",0x5C88DC,8,u8,0x5C88A9,10,u8,
0x5D3BE2,KLWBHO1SLT,hypothesis,"B9 #17 re/findings/rail.md S9.1; lookup_1d_u8 at 0x059374, result 0x7FD28F",degCA,0.75,,,,,,,,static,AWEA,1800,"Latest permitted start of injection. All six points are 200 counts = 150 degCA above the 210 degCA base, i.e. 360.0 degCA",,,,,,,
0x5D3BE8,KLWBHO1SMX_n,static,"B9 #17 re/findings/rail.md S9.1; the {n=6} head of the KLWBHO1SMX axis, loaded at 0x4548D8",-,,,,,,,,,static,AWEA,1800,Breakpoint count (6) of KLWBHO1SMX,,,,,,,
0x5D3BF6,KLWBHO1SMX,hypothesis,"B9 #17 re/findings/rail.md S9.1; lookup_1d_g_u16_u8 at 0x4548E4, result 0x7FD290",degCA,0.75,,,,,,,,static,AWEA,1800,Required end-of-injection margin. All six points are 67 counts = 50.25 degCA. It is also the hardware cut-off angle programmed by esausg_output when the window model is armed,,,,,,,
0x5D3CDC,PRWBHMX,hypothesis,B9 #17 re/findings/rail.md S14.3; compared with prist_w at 0x454894,bar,0.005,,,,,,,,static,AWEA,1800,Rail pressure above which the injection-window model is declared invalid (0x7FEA48 = 1): 2600 = 13.0 bar. In normal running the whole window machinery is therefore disarmed,,,,,,,
0x5D3CDE,WBHO1SDEF,hypothesis,B9 #17 re/findings/rail.md S9.2; read at 0x454938/0x454B9C/0x454CC4,degCA,3/128,,,,,,,,static,AWEA,1800,Fallback start-of-injection angle used when 0x8033FA bit 10 is set: 9378 x 3/128 = 219.8 degCA,,,,,,,
0x5D3DBC,KRKATE_injector_const,hypothesis,B6 #14 re/findings/injection.md S6.4; the only reference in the image is lhz at 0x0AC528,,,,,,,,,,hypothesis,RKTI,1826,"Injector constant, 3858. frt = min((KRKATE * KLTIKRPR(dp)) >> 14, 0xFFFF). The FR unit is ms/% but the absolute scaling of rk is still open, so no unit is claimed",,,,,,,
0x5D3DC0,axis_dp_injector,static,B6 #14 re/findings/injection.md S5.1; axis_search_u16_hint at 0x0AC4EC,bar,0.005,,bar,0.005,,,,,static,RKTI,1826,Differential-pressure breakpoints 2..120 bar shared by KLTIKRPR and TVUB; one axis search at 0x0AC4EC serves both,,,,,,,
0x5D49CC,CWAMSV,hypothesis,B9 #17 re/findings/rail.md S5.1; read at 0x456608,-,,,,,,,,,static,AMSV,1683,"Code word of the MSV drive, 0xD3: bit 0 adds the controller output to the feed-forward (set), bit 4 adds the angle correction, bit 5 fixed volume (clear)",,,,,,,
0x5D49D4,cand_DWMSVMX,hypothesis,B9 #17 re/findings/rail.md S5.1; clamp in amsv_main 0x4565F0,-,,,,,,,,,static,AMSV,1683,"Upper clamp of the MSV closing angle, 1100",,,,,,,
0x5D49DA,cand_DWMSVSMX,hypothesis,B9 #17 re/findings/rail.md S5.1; clamp in amsv_main 0x4565F0,-,,,,,,,,,static,AMSV,1683,Upper clamp of the MSV opening angle,,,,,,,
0x5D4AFC,KLDWMSV_n,static,B9 #17 re/findings/rail.md S5.1; loaded at 0x4566BC,-,,,,,,,,,static,AMSV,1683,Breakpoint count (35) of KLDWMSV,,,,,,,
0x5D4B44,KLDWMSV,hypothesis,B9 #17 re/findings/rail.md S5.1; lookup_1d_g_u16_s16 at 0x4566CC,-,,,-,,,,,,static,AMSV,1683,"Volume request to MSV closing angle, 35 points; the result is clamped to 0..1100",,,,,,,
0x5D4BC4,cand_KVMSV,hypothesis,B9 #17 re/findings/rail.md S5.1; divisor of the volume scaling at 0x456680,-,,,,,,,,,static,AMSV,1683,"Divisor that turns the total volume demand into the MSV volume request, 16000",,,,,,,
0x5D4BC6,VMSVMX,hypothesis,B9 #17 re/findings/rail.md S5.1; min() at 0x456694,-,,,,,,,,,static,AMSV,1683,"THE pump volume limit, 5000. If the logged 0x80316E sits at this value the pump is saturated and no rail-pressure map change will help",,,,,,,
0x5D4BD0,cand_VMSVFIX,hypothesis,"B9 #17 re/findings/rail.md S5.1; used instead of the computed demand when CWAMSV bit 5 is set, which it is not in this dataset",-,,,,,,,,,static,AMSV,1683,Fixed MSV volume demand,,,,,,,
0x5D5182,PRISTMNDIAG,hypothesis,B9 #17 re/findings/rail.md S10; compared with prist at 0x0F39B4,bar,0.005,,,,,,,,static,HDRPIST,1717,"Rail-pressure threshold of the diagnosis, 3000 = 15.0 bar; below it bit 1 of the fuel fault byte 0x80201E is set",,,,,,,
0x5D5192,KLDSKV,hypothesis,"B9 #17 re/findings/rail.md S2c; lookup_1d_u16 at 0x457B94 in ggdskv_sensor, struct 0x5D518A",bar,0.005,,V,5/16384,,,,,static,GGDSKV,1727,"Rail-pressure sensor characteristic: three points, one straight line, 0.498 V at zero pressure and about 138 bar full scale. The x axis is the averaged 10-bit ADC sample shifted left by 4, so 16384 = 5.000 V",,,,,,,
0x5D519C,cand_CWHDR,hypothesis,"B9 #17 re/findings/rail.md S4.1/S4.2; read by hdr_pi_controller 0x457BC8. D3 #41: the role is rail.md's, the FR label is a guess at the HDR naming convention",-,,,,,,,,,hypothesis,HDR,1713,Code word of the rail-pressure controller; bit 1 is the master enable of the integrator,,,,,,,
0x5D51BF,cand_THDRIMX,hypothesis,"B9 #17 re/findings/rail.md S4.1/S4.2; read by hdr_pi_controller 0x457BC8. D3 #41: the role is rail.md's, the FR label is a guess at the HDR naming convention",-,,,,,,,,,hypothesis,HDR,1713,Temperature gate of the integrator: it runs only while 0x801F99 is below this,,,,,,,
0x5D51C0,KLGPHDR_n,static,B9 #17 re/findings/rail.md S4.1; loaded at 0x457C14,-,,,,,,,,,static,HDR,1713,Breakpoint count (7) of KLGPHDR,,,,,,,
0x5D51D0,KLGPHDR,hypothesis,B9 #17 re/findings/rail.md S4.1; lookup_1d_g_s16_u16 at 0x457C24,-,,,bar,0.005,,,,,static,HDR,1713,"P gain of the rail-pressure controller over the control error, highest on small errors",,,,,,,
0x5D51DE,KLBIHDR_n,static,B9 #17 re/findings/rail.md S4.1; loaded at 0x457D44,-,,,,,,,,,static,HDR,1713,Breakpoint count (7) of KLBIHDR,,,,,,,
0x5D51EE,KLBIHDR,hypothesis,B9 #17 re/findings/rail.md S4.1; lookup_1d_g_s16_u16 at 0x457D54,-,,,bar,0.005,,,,,static,HDR,1713,I gain of the rail-pressure controller over the control error; zero at zero error,,,,,,,
0x5D51FC,cand_VHDRIMN,hypothesis,"B9 #17 re/findings/rail.md S4.1/S4.2; read by hdr_pi_controller 0x457BC8. D3 #41: the role is rail.md's, the FR label is a guess at the HDR naming convention",-,,,,,,,,,hypothesis,HDR,1713,Lower bound of the volume-demand window in which the integrator runs,,,,,,,
0x5D51FE,cand_VHDRIMX,hypothesis,"B9 #17 re/findings/rail.md S4.1/S4.2; read by hdr_pi_controller 0x457BC8. D3 #41: the role is rail.md's, the FR label is a guess at the HDR naming convention",-,,,,,,,,,hypothesis,HDR,1713,Upper bound of that window,,,,,,,
0x5D5200,cand_XHDRIMN,hypothesis,"B9 #17 re/findings/rail.md S4.1/S4.2; read by hdr_pi_controller 0x457BC8. D3 #41: the role is rail.md's, the FR label is a guess at the HDR naming convention",-,,,,,,,,,hypothesis,HDR,1713,Lower bound of the second integrator enable window (over 0x802BEA),,,,,,,
0x5D5202,cand_XHDRIMX,hypothesis,"B9 #17 re/findings/rail.md S4.1/S4.2; read by hdr_pi_controller 0x457BC8. D3 #41: the role is rail.md's, the FR label is a guess at the HDR naming convention",-,,,,,,,,,hypothesis,HDR,1713,Upper bound of that window,,,,,,,
0x5D5204,cand_NHDRMN,hypothesis,"B9 #17 re/findings/rail.md S4.2; lower bound of the integrator enable window, read at 0x457E30",1/min,0.25,,,,,,,,static,HDR,1713,"Lowest engine speed at which the rail-pressure integrator runs, 6000 = 1500 rpm",,,,,,,
0x5D5206,cand_NHDRMX,hypothesis,"B9 #17 re/findings/rail.md S4.2; upper bound of the integrator enable window, read at 0x457E3C",1/min,0.25,,,,,,,,static,HDR,1713,"Highest engine speed at which the rail-pressure integrator runs, 14000 = 3500 rpm",,,,,,,
0x5D5208,cand_IHDRMX,hypothesis,"B9 #17 re/findings/rail.md S4.1/S4.2; read by hdr_pi_controller 0x457BC8. D3 #41: the role is rail.md's, the FR label is a guess at the HDR naming convention",-,,,,,,,,,hypothesis,HDR,1713,Upper limit of the rail-pressure integrator,,,,,,,
0x5D520A,cand_IHDRMN,hypothesis,"B9 #17 re/findings/rail.md S4.1/S4.2; read by hdr_pi_controller 0x457BC8. D3 #41: the role is rail.md's, the FR label is a guess at the HDR naming convention",-,,,,,,,,,hypothesis,HDR,1713,Lower limit of the rail-pressure integrator,,,,,,,
0x5D520C,cand_DPHDRDN,hypothesis,"B9 #17 re/findings/rail.md S4.1/S4.2; read by hdr_pi_controller 0x457BC8. D3 #41: the role is rail.md's, the FR label is a guess at the HDR naming convention",-,,,,,,,,,hypothesis,HDR,1713,Downward rate limit of the P branch,,,,,,,
0x5D520E,cand_DPHDRUP,hypothesis,"B9 #17 re/findings/rail.md S4.1/S4.2; read by hdr_pi_controller 0x457BC8. D3 #41: the role is rail.md's, the FR label is a guess at the HDR naming convention",-,,,,,,,,,hypothesis,HDR,1713,Upward rate limit of the P branch,,,,,,,
0x5D5210,cand_DPRSOLMX,hypothesis,"B9 #17 re/findings/rail.md S4.1/S4.2; read by hdr_pi_controller 0x457BC8. D3 #41: the role is rail.md's, the FR label is a guess at the HDR naming convention",bar,0.005,,,,,,,,hypothesis,HDR,1713,The setpoint counts as settled while |prsoll - PT1(prsoll)| stays below this,,,,,,,
0x5D5212,cand_TIHDR,hypothesis,"B9 #17 re/findings/rail.md S4.1/S4.2; read by hdr_pi_controller 0x457BC8. D3 #41: the role is rail.md's, the FR label is a guess at the HDR naming convention",-,,,,,,,,,hypothesis,HDR,1713,Coefficient of the rail-pressure integrator,,,,,,,
0x5D5214,cand_TFPRSOL,hypothesis,"B9 #17 re/findings/rail.md S4.1/S4.2; read by hdr_pi_controller 0x457BC8. D3 #41: the role is rail.md's, the FR label is a guess at the HDR naming convention",-,,,,,,,,,hypothesis,HDR,1713,PT1 coefficient of the setpoint filter used by the 'setpoint is moving' detector,,,,,,,
0x5D5216,cand_PRISTOFS,hypothesis,B9 #17 re/findings/rail.md S6; subtracted from the fast rail-pressure path at 0x4580C0,bar,0.005,,,,,,,,static,HDRPIST,1717,"Raw offset of the fast rail-pressure acquisition, 0 in this dataset",,,,,,,
0x5D5218,cand_DPRISTMX,hypothesis,B9 #17 re/findings/rail.md S6; compared with the deviation between the two acquisitions at 0x458148,bar,0.005,,,,,,,,static,HDRPIST,1717,Deviation between the fast and the averaged rail-pressure path that invalidates the fast one: 400 = 2.0 bar,,,,,,,
0x5D521A,cand_DPRISTHY,hypothesis,B9 #17 re/findings/rail.md S6; hysteresis subtracted from 0x5D5218 at 0x458164,bar,0.005,,,,,,,,static,HDRPIST,1717,"Hysteresis of that comparison, 300 = 1.5 bar",,,,,,,
0x5D521C,cand_TFPRIST,hypothesis,B9 #17 re/findings/rail.md S6; PT1 coefficient at 0x4581B4,-,1/65536,,,,,,,,static,HDRPIST,1717,"PT1 coefficient of the averaged rail-pressure path, 26214 = 0.4 in Q16",,,,,,,
0x5D521E,CWPRSOL,hypothesis,B9 #17 re/findings/rail.md S3.2; read at 0x458240,-,,,,,,,,,static,HDRPSOL,1722,"Code word of the setpoint module, 0x2E: bit 0 fixed value (clear), bit 3 track prist while starting (set), bit 4 PT1 filter (clear), bit 5 add KFPRSOLOFF (set)",,,,,,,
0x5D5220,cand_FPRSOLDN,hypothesis,"B9 #17 re/findings/rail.md S3.4; Q14 factor on the downward rate limit of the setpoint, 16384 = 1.0",-,1/16384,,,,,,,,static,HDRPSOL,1722,Weight of the maximum fall rate of the rail-pressure setpoint,,,,,,,
0x5D5222,KVHDPNMOT,hypothesis,B9 #17 re/findings/rail.md S3.4; read at 0x45852C and 0x458D5C,-,,,,,,,,,static,HDRPSOL,1722,"Divisor of the strokes-per-time factor of the setpoint rate limiter, 8000",,,,,,,
0x5D5224,KFPRSOLKH,hypothesis,"B9 #17 re/findings/rail.md S3.2; interp_2d_u16 at 0x4582C4, selected by 0x7FB69A bit 7. D3 #41: enumerate_maps.py left x_n/y_n empty for these six maps because the row length comes from a memory load; rail.md S3.1 reads the shape (8 x 8) and both axes out of hdrpsol_main, so the sidecar restores them",bar,0.005,,%,100/65535,,1/min,0.25,,static,HDRPSOL,1722,"Rail-pressure setpoint, cat-heating branch. 35..95 bar. The FR name is a guess",0x5D557A,8,u16,0x5D558C,8,u16,
0x5D52A4,KFPRSOLSCH,hypothesis,"B9 #17 re/findings/rail.md S3.2; interp_2d_u16 at 0x4583F0, selected by 0x7FB69A bit 1. D3 #41: enumerate_maps.py left x_n/y_n empty for these six maps because the row length comes from a memory load; rail.md S3.1 reads the shape (8 x 8) and both axes out of hdrpsol_main, so the sidecar restores them",bar,0.005,,%,100/65535,,1/min,0.25,,static,HDRPSOL,1722,"Rail-pressure setpoint, mode-1 branch. 50..100 bar. The FR name is a guess",0x5D557A,8,u16,0x5D558C,8,u16,
0x5D5324,KFPRSOLHOM,hypothesis,"B9 #17 re/findings/rail.md S3.2; interp_2d_u16 at 0x458414/0x458454. D3 #41: enumerate_maps.py left x_n/y_n empty for these six maps because the row length comes from a memory load; rail.md S3.1 reads the shape (8 x 8) and both axes out of hdrpsol_main, so the sidecar restores them",bar,0.005,,%,100/65535,,1/min,0.25,,static,HDRPSOL,1722,"Rail-pressure setpoint in homogeneous mode - the map the engine runs on in every normal driving condition. 35 bar at idle to 95 bar at high speed and load, against a KLPRMAX ceiling of 110 bar",0x5D557A,8,u16,0x5D558C,8,u16,
0x5D53A4,KFPRSOLHMM,hypothesis,"B9 #17 re/findings/rail.md S3.2; interp_2d_u16 at 0x4582FC. D3 #41: enumerate_maps.py left x_n/y_n empty for these six maps because the row length comes from a memory load; rail.md S3.1 reads the shape (8 x 8) and both axes out of hdrpsol_main, so the sidecar restores them",bar,0.005,,%,100/65535,,1/min,0.25,,static,HDRPSOL,1722,"Rail-pressure setpoint, mode-4 branch. 60..95 bar. The FR name is a guess",0x5D557A,8,u16,0x5D558C,8,u16,
0x5D5424,KFPRSOLOFF,hypothesis,"B9 #17 re/findings/rail.md S3.2; interp_2d_u16 at 0x458318, summed in because CWPRSOL bit 5 is set. D3 #41: enumerate_maps.py left x_n/y_n empty for these six maps because the row length comes from a memory load; rail.md S3.1 reads the shape (8 x 8) and both axes out of hdrpsol_main, so the sidecar restores them",bar,0.005,,%,100/65535,,1/min,0.25,,static,HDRPSOL,1722,"Additive rail-pressure offset, 0..+25 bar, weighted by KLPRSOLFAK over a coolant temperature. This is the cheapest existing hook for an ethanol-dependent rail raise (rail.md S12.1)",0x5D557A,8,u16,0x5D558C,8,u16,
0x5D54A4,KFPRSOLHKS,hypothesis,"B9 #17 re/findings/rail.md S3.2; interp_2d_u16 at 0x45838C/0x4583CC. D3 #41: enumerate_maps.py left x_n/y_n empty for these six maps because the row length comes from a memory load; rail.md S3.1 reads the shape (8 x 8) and both axes out of hdrpsol_main, so the sidecar restores them",bar,0.005,,%,100/65535,,1/min,0.25,,static,HDRPSOL,1722,"Rail-pressure setpoint, mode-3 branch. 60..100 bar. The FR name is a guess",0x5D557A,8,u16,0x5D558C,8,u16,
0x5D5532,KLVHDPFAK,hypothesis,B9 #17 re/findings/rail.md S3.4; lookup_1d_u16 at 0x4584F4,-,1/16384,,bar,0.005,,,,,static,HDRPSOL,1722,Scales the spare pump volume in the setpoint rate limiter; all six points 1638 = 0.0999 in Q14,,,,,,,
0x5D553E,KLPRMAX_n,static,B9 #17 re/findings/rail.md S3.3; the {n=6} head loaded at 0x458468,-,,,,,,,,,static,HDRPSOL,1722,Breakpoint count (6) of KLPRMAX,,,,,,,
0x5D5546,KLPRMAX,hypothesis,B9 #17 re/findings/rail.md S3.3; lookup_1d_g_u8_u16 at 0x458478,bar,0.005,,degC,0.75,-48,,,,static,HDRPSOL,1722,Ceiling of the rail-pressure setpoint: all six points 22000 = 110.0 bar. THE constant that caps any flex-fuel rail raise; the sensor curve saturates near 138 bar,,,,,,,
0x5D5552,KLPRSOLFAK_n,static,"D3 #41: the count byte of KLPRSOLFAK, loaded at 0x458328",-,,,,,,,,,static,HDRPSOL,1722,Breakpoint count of KLPRSOLFAK,,,,,,,
0x5D5559,KLPRSOLFAK,hypothesis,"B9 #17 re/findings/rail.md S3.2; lookup_1d_g_u8_s8 at 0x458338, applied as (fac * off) >> 7",-,1/128,,degC,0.75,-48,,,,static,HDRPSOL,1722,"Weight of KFPRSOLOFF over the u8 temperature 0x7FD3F7: 127, 127, 64, 0, 0, 0, i.e. the offset fades out between about 25 and 80 degC. Re-purposing this curve for E% costs one lbz redirect",,,,,,,
0x5D556A,KLPRSOLFIL,hypothesis,B9 #17 re/findings/rail.md S3.5; lookup_1d_u16 at 0x45869C,-,1/65536,,1/min,0.25,,,,,hypothesis,HDRPSOL,1722,PT1 coefficient of the filtered setpoint over engine speed. Unused: CWPRSOL bit 4 is clear,,,,,,,
0x5D5572,PRSOLMN,hypothesis,B9 #17 re/findings/rail.md S3.3; applied at 0x4584A0,bar,0.005,,,,,,,,static,HDRPSOL,1722,"Floor of the rail-pressure setpoint, 7000 = 35.0 bar",,,,,,,
0x5D5574,PRSOLFIX,hypothesis,B9 #17 re/findings/rail.md S3.2; read at 0x45825C,bar,0.005,,,,,,,,static,HDRPSOL,1722,Fixed rail-pressure setpoint used when CWPRSOL bit 0 is set; that bit is clear here. 10000 = 50.0 bar,,,,,,,
0x5D557A,axis_prsol_load,static,"B9 #17 re/findings/rail.md S3.1; axis_search_u16_hint at 0x458284, input 0x803508",%,100/65535,,%,100/65535,,,,,static,HDRPSOL,1722,Column axis of every KFPRSOL* map: 0/10/20/30/40/60/80/100 % of the 16-bit charge request produced by the torque structure,,,,,,,
0x5D558C,axis_prsol_nmot,static,"B9 #17 re/findings/rail.md S3.1; axis_search_u16_hint at 0x45829C, input nmot_w",1/min,0.25,,1/min,0.25,,,,,static,HDRPSOL,1722,"Row axis of every KFPRSOL* map, 750..6200 rpm",,,,,,,
0x5D559C,VHDPMX,hypothesis,B9 #17 re/findings/rail.md S3.4; read at 0x4584C4,-,,,,,,,,,static,HDRPSOL,1722,"Maximum pump delivery, 25120. The spare volume (VHDPMX - demand) sets how fast prsoll may climb, so this is the rate limit a flex-fuel rail raise runs into at WOT",,,,,,,
0x5D559E,cand_CWVSTMSV,hypothesis,B9 #17 re/findings/rail.md S4.4; read by vstmsv_main 0x4589B4,-,,,,,,,,,static,VSTMSV,1690,Code word of the MSV feed-forward; bit 1 makes the rail model use prsoll instead of prist,,,,,,,
0x5D5604,cand_KVHDPRK,hypothesis,B9 #17 re/findings/rail.md S4.4; factor of the fuel volume flow demand 0x8031F8,-,,,,,,,,,hypothesis,VSTMSV,1690,Factor that turns the injected fuel mass into a volume flow demand,,,,,,,
0x5D5608,KFKAPAKR_nx,static,B9 #17 re/findings/rail.md S4.4; loaded at 0x4589FC,-,,,,,,,,,static,VSTMSV,1690,Column count (10) of KFKAPAKR,,,,,,,
0x5D5609,KFKAPAKR_ny,static,"D3 #41: the count byte of KFKAPAKR, loaded at 0x458A00",-,,,,,,,,,static,VSTMSV,1690,Breakpoint count of KFKAPAKR,,,,,,,
0x5D5628,KFKAPAKR,hypothesis,B9 #17 re/findings/rail.md S4.4; lookup_2d_g_u8_u16_u16 at 0x458A14,-,,,bar,0.005,,,,,static,VSTMSV,1690,Fuel and rail compressibility over rail temperature and rail pressure; the result kaparail_w appears both in the setpoint rate limiter and in the controller output conversion,,,,,,,
0x5D574A,KFVSTVG,hypothesis,B9 #17 re/findings/rail.md S4.4; interp_2d_u16 at 0x458C68,,,,bar,0.005,,1/min,0.25,,hypothesis,VSTMSV,1690,MSV feed-forward gain map. The FR name is a guess,,,,,,,
0x5D57AA,KFVSTVO,hypothesis,B9 #17 re/findings/rail.md S4.4; interp_2d_u16 at 0x458C90,,,,bar,0.005,,1/min,0.25,,hypothesis,VSTMSV,1690,MSV feed-forward offset map. The FR name is a guess,,,,,,,
0x5D58F0,KKAPARAIL,hypothesis,"B9 #17 re/findings/rail.md S3.4/S4.1; read at 0x45806C, 0x458544 and 0x458D88",-,,,,,,,,,static,VSTMSV,1690,"Rail-compliance constant, 20133",,,,,,,
0x5D597E,cand_KFDZK,hypothesis,B7 #15 re/findings/ignition.md S13.2; interp_2d_s8 at 0x0F44B8. D3 #41: the axis keys 0x7FD820 / 0x7FD84C are written only by FUN_000BDB58 (0x0BDB9C / 0x0BDBB0) from the shared axis blocks 0x5C8982 (nmot_w) and 0x5C89E0 (rl_w) - VERIFIED-STATIC,degCA,0.75,,%,100/4096,,1/min,0.25,,static,ZWGRU,3090,Ignition retard applied while the low-octane-fuel latch is set; 0 to -6 degCA. With E85 this must never latch - watch 0x7FD31B bits 0/1,0x5C89E2,12,u16,0x5C8984,16,u16,
0x5D5A3E,cand_KFSWKFZK,hypothesis,B7 #15 re/findings/ignition.md S13.2; interp_2d_s8 at 0x0F4398. D3 #41: axes as KFDZK,degCA,0.75,,%,100/4096,,1/min,0.25,,static,ZWGRU,3090,Switch-on threshold on the mean knock retard (0x7FCE76). -128 counts in the four lowest load columns means 'never latch there',0x5C89E2,12,u16,0x5C8984,16,u16,
0x5D5AFE,cand_KFSWKFZKR,hypothesis,B7 #15 re/findings/ignition.md S13.2; interp_2d_s8 at 0x0F440C. D3 #41: axes as KFDZK,degCA,0.75,,%,100/4096,,1/min,0.25,,static,ZWGRU,3090,Switch-back threshold of the low-octane-fuel latch,0x5C89E2,12,u16,0x5C8984,16,u16,
0x5D5BBE,cand_TSWZK,hypothesis,B7 #15 re/findings/ignition.md S13.2; debounce limit of the counter 0x802090 in zwgru_low_octane_detect 0x0F436C,-,,,,,,,,,static,ZWGRU,3090,Debounce count before the low-octane-fuel latch is set,,,,,,,
0x5D5BBF,cand_TSWZKR,hypothesis,B7 #15 re/findings/ignition.md S13.2; debounce limit of the counter 0x80208F in zwgru_low_octane_detect 0x0F436C,-,,,,,,,,,static,ZWGRU,3090,Debounce count before the low-octane-fuel latch is cleared again,,,,,,,
